boro_code,ct2010,crashes_total,prob_per_killed_total,prob_per_injured_total,prob_ped_killed_total,prob_ped_injured_total,prob_cyclist_killed_total,prob_cyclist_injured_total,prob_motorist_killed_total,prob_motorist_injured_total
3,063200,139,0.0,0.2805755395683453,0.0,0.06474820143884892,0.0,0.03597122302158273,0.0,0.17266187050359713
3,063600,111,0.0,0.3333333333333333,0.0,0.07207207207207207,0.0,0.04504504504504504,0.0,0.21621621621621623
3,063800,62,0.0,0.24193548387096775,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.14516129032258066
3,064000,155,0.0,0.18064516129032257,0.0,0.04516129032258064,0.0,0.0064516129032258064,0.0,0.12903225806451613
3,064200,550,0.0018181818181818182,0.32181818181818184,0.0018181818181818182,0.06363636363636363,0.0,0.05090909090909091,0.0,0.20727272727272728
3,064400,202,0.0049504950495049506,0.21287128712871287,0.0,0.04950495049504951,0.0,0.024752475247524754,0.0049504950495049506,0.1485148514851485
3,064600,241,0.0,0.24066390041493776,0.0,0.06224066390041494,0.0,0.024896265560165973,0.0,0.14937759336099585
3,064800,155,0.0,0.22580645161290322,0.0,0.03225806451612903,0.0,0.012903225806451613,0.0,0.18064516129032257
3,065000,775,0.0012903225806451613,0.2064516129032258,0.0012903225806451613,0.04903225806451613,0.0,0.014193548387096775,0.0,0.14193548387096774
3,065200,423,0.002364066193853428,0.22695035460992907,0.0,0.05673758865248227,0.0,0.004728132387706856,0.002364066193853428,0.16312056737588654
3,065400,156,0.0,0.21794871794871795,0.0,0.02564102564102564,0.0,0.03205128205128205,0.0,0.16025641025641027
3,065600,128,0.0,0.1953125,0.0,0.0390625,0.0,0.015625,0.0,0.140625
3,065800,151,0.006622516556291391,0.15894039735099338,0.006622516556291391,0.059602649006622516,0.0,0.006622516556291391,0.0,0.08609271523178808
3,066000,160,0.0,0.23125,0.0,0.03125,0.0,0.01875,0.0,0.175
3,066200,1252,0.0023961661341853034,0.22763578274760382,0.0007987220447284345,0.05750798722044728,0.0,0.012779552715654952,0.001597444089456869,0.15814696485623003
3,066600,642,0.006230529595015576,0.21339563862928349,0.004672897196261682,0.02336448598130841,0.0,0.021806853582554516,0.001557632398753894,0.17133956386292834
3,067000,539,0.0,0.19666048237476808,0.0,0.04267161410018553,0.0,0.0055658627087198514,0.0,0.14842300556586271
3,067200,397,0.0025188916876574307,0.20906801007556675,0.0025188916876574307,0.04534005037783375,0.0,0.010075566750629723,0.0,0.1561712846347607
3,067400,273,0.003663003663003663,0.23076923076923078,0.0,0.040293040293040296,0.0,0.018315018315018316,0.003663003663003663,0.17216117216117216
3,067600,407,0.007371007371007371,0.2678132678132678,0.007371007371007371,0.04176904176904177,0.0,0.002457002457002457,0.0,0.22358722358722358
3,067800,341,0.0,0.2785923753665689,0.0,0.03812316715542522,0.0,0.02932551319648094,0.0,0.20821114369501467
3,068000,239,0.0,0.23430962343096234,0.0,0.06694560669456066,0.0,0.02510460251046025,0.0,0.13389121338912133
