boro_code,ct2010,c_lat,c_lon
4,045700,40.738,-73.87
4,045900,40.74,-73.871
4,046700,40.745,-73.875
4,046900,40.745,-73.877
4,049600,40.717,-73.753
4,050202,40.71,-73.759
4,050800,40.707,-73.755
4,051200,40.71,-73.75
4,051800,40.702,-73.752
4,052000,40.701,-73.755
4,052400,40.701,-73.762
4,052600,40.697,-73.76
4,053000,40.696,-73.753
4,053601,40.707,-73.746
4,054000,40.713,-73.743
4,054200,40.719,-73.746
4,054500,40.706,-73.913
4,054700,40.704,-73.91
4,054900,40.702,-73.908
4,055100,40.702,-73.904
4,055300,40.699,-73.907
4,055600,40.726,-73.745
4,055800,40.723,-73.742
4,058500,40.704,-73.899
4,058700,40.707,-73.9
4,058900,40.706,-73.905
4,059100,40.708,-73.91
4,059300,40.71,-73.903
4,059400,40.698,-73.731
4,059600,40.697,-73.737
4,059800,40.698,-73.741
4,059900,40.717,-73.902
4,060000,40.695,-73.733
4,060600,40.692,-73.735
4,060800,40.694,-73.741
4,061400,40.686,-73.73
4,062700,40.704,-73.886
4,065702,40.713,-73.883
4,065703,40.715,-73.875
4,066000,40.659,-73.733
4,067100,40.724,-73.878
4,067700,40.719,-73.872
4,067900,40.724,-73.87
4,069300,40.729,-73.863
4,069500,40.726,-73.868
4,069701,40.727,-73.86
4,071900,40.735,-73.856
4,072100,40.731,-73.854
4,072900,40.713,-73.852
4,073900,40.724,-73.844
4,074100,40.728,-73.847
4,074300,40.732,-73.849
4,077906,40.729,-73.819
4,079900,40.747,-73.827
4,086100,40.757,-73.818
4,103300,40.779,-73.81
4,114700,40.768,-73.802
4,115700,40.768,-73.815
4,116100,40.767,-73.826
4,117500,40.761,-73.796
4,118700,40.76,-73.813
4,119300,40.757,-73.8
4,119500,40.755,-73.799
4,120300,40.749,-73.813
4,120500,40.751,-73.817
4,133900,40.729,-73.79
4,145102,40.753,-73.778
4,157901,40.745,-73.705
4,003200,40.687,-73.847
2,036901,40.844,-73.892
2,036902,40.843,-73.893
2,040302,40.868,-73.892
2,026702,40.872,-73.9
2,023302,40.848,-73.905
4,018800,40.682,-73.8
4,019200,40.684,-73.801
4,017400,40.681,-73.81
4,017600,40.679,-73.81
4,013800,40.707,-73.825
4,028400,40.683,-73.778
4,071303,40.726,-73.85
4,077902,40.725,-73.825
4,017000,40.684,-73.812
4,019400,40.686,-73.803
3,097400,40.647,-73.9
3,044500,40.705,-73.92
3,006600,40.632,-74.028
2,032800,40.862,-73.863
3,008600,40.648,-74.004
3,117602,40.686,-73.874
3,034900,40.668,-73.93
3,035100,40.668,-73.933
4,005500,40.754,-73.928
